director	genre	name	starring	year
"Terry Gilliam"	"Action-Adventure"	"The Brothers Grimm"	"Matt Damon"	2005
"Paul Greengrass"	"Action-Adventure"	"The Bourne Supremacy"	"Matt Damon"	2004
"Bobby Farrelly"	"Comedy"	"Stuck on You"	"Matt Damon"	2003
"Billy Bob Thornton"	"Drama"	"All the Pretty Horses"	"Matt Damon"	2000
"Anthony Minghella"	"Drama"	"The Talented Mr. Ripley"	"Matt Damon"	1999
"John Dahl"	"Drama"	"Rounders"	"Matt Damon"	1998
"Francis Ford Coppola"	"Drama"	"The Rainmaker"	"Matt Damon"	1997
"David Koepp"	"Action-Adventure"	"Mortdecai"	"Johnny Depp"	2015
"Scott Cooper"	"Biography"	"Black Mass"	"Johnny Depp"	2015
"Wally Pfister"	"Drama"	"Transcendence"	"Johnny Depp"	2014
"Gore Verbinski"	"Action-Adventure"	"The Lone Ranger"	"Johnny Depp"	2013
"Tim Burton"	"Comedy"	"Dark Shadows"	"Johnny Depp"	2012
"Rob Marshall"	"Action-Adventure"	"Pirates of the Caribbean: On Stranger Tides"	"Johnny Depp"	2011
"Bruce Robinson"	"Comedy"	"The Rum Diary"	"Johnny Depp"	2011
"Florian Henckel von Donnersmarck"	"Action-Adventure"	"The Tourist"	"Johnny Depp"	2010
"Gore Verbinski"	"Action-Adventure"	"Pirates of the Caribbean: At World's End"	"Johnny Depp"	2007
"Tim Burton"	"Drama"	"Sweeney Todd: The Demon Barber of Fleet Street"	"Johnny Depp"	2007
"Gore Verbinski"	"Action-Adventure"	"Pirates of the Caribbean: Dead Man's Chest"	"Johnny Depp"	2006
"Tim Burton"	"Action-Adventure"	"Charlie and the Chocolate Factory"	"Johnny Depp"	2005
"Laurence Dunmore"	"Drama"	"The Libertine"	"Johnny Depp"	2004
"Marc Forster"	"Biography"	"Finding Neverland"	"Johnny Depp"	2004
"David Koepp"	"Action-Adventure"	"Secret Window"	"Johnny Depp"	2004
"Gore Verbinski"	"Action-Adventure"	"Pirates of the Caribbean: The Curse of the Black Pearl"	"Johnny Depp"	2003
"Ted Demme"	"Biography"	"Blow"	"Johnny Depp"	2001
"Albert Hughes"	"Action-Adventure"	"From Hell"	"Johnny Depp"	2001
"Roman Polanski"	"Action-Adventure"	"La última puerta"	"Johnny Depp"	1999
"Terry Gilliam"	"Action-Adventure"	"Fear and Loathing in Las Vegas"	"Johnny Depp"	1998
"Jim Jarmusch"	"Drama"	"Dead Man"	"Johnny Depp"	1995
"John Badham"	"Action-Adventure"	"Nick of Time"	"Johnny Depp"	1995
"Tim Burton"	"Biography"	"Ed Wood"	"Johnny Depp"	1994
"Jeremy Leven"	"Comedy"	"Don Juan DeMarco"	"Johnny Depp"	1994
"Lasse Hallström"	"Drama"	"What's Eating Gilbert Grape"	"Johnny Depp"	1993
"Jeremiah S. Chechik"	"Comedy"	"Benny & Joon"	"Johnny Depp"	1993
"Emir Kusturica"	"Comedy"	"Arizona Dream"	"Johnny Depp"	1993
"Tim Burton"	"Drama"	"Edward Scissorhands"	"Johnny Depp"	1990
"John Waters"	"Comedy"	"Cry-Baby"	"Johnny Depp"	1990
