acidite	chlorides	sucre	sulphates	alcool
7.5	0.073	24.0	88.0	12.3
8.1	0.084	10.0	31.0	12.25
8.6	0.11	20.0	136.0	11.93
9.6	0.08900000000000001	15.0	46.0	12.11
8.1	0.122	37.0	153.0	12.21
10.6	0.111	6.0	20.0	12.26
8.5	0.09	18.0	58.0	12.34
9.1	0.063	13.0	27.0	12.26
7.4	0.071	14.0	25.0	12.35
13.0	0.085	6.0	47.0	12.3
8.3	0.08	11.0	27.0	12.21
7.9	0.084	9.0	22.0	12.33
11.6	0.07400000000000001	10.0	47.0	12.25
10.2	0.057	14.0	36.0	12.23
7.7	0.075	9.0	39.0	12.48
6.6	0.08	8.0	25.0	12.69
7.8	0.083	21.0	64.0	12.16
10.6	0.152	6.0	18.0	12.04
8.8	0.079	19.0	52.0	12.44
9.1	0.08	23.0	78.0	12.38
7.2	0.078	7.0	12.0	12.34
13.7	0.085	17.0	43.0	12.06
11.1	0.06	3.0	10.0	12.02
7.2	0.09699999999999999	14.0	38.0	12.37
8.5	0.05	3.0	10.0	12.28
10.7	0.07	5.0	16.0	12.15
7.3	0.07400000000000001	15.0	55.0	12.46
6.8	0.099	16.0	126.0	12.28
5.6	0.087	3.0	11.0	12.71
9.1	0.09300000000000001	11.0	28.0	12.36
7.3	0.07	35.0	121.0	12.37
7.3	0.07200000000000001	31.0	92.0	12.32
7.6	0.10400000000000001	28.0	90.0	12.15
12.2	0.066	10.0	21.0	12.12
10.2	0.075	6.0	17.0	12.22
10.2	0.071	7.0	20.0	12.14
7.6	0.073	23.0	44.0	12.38
7.0	0.07200000000000001	17.0	26.0	12.36
7.0	0.09699999999999999	22.0	89.0	12.34
5.6	0.049	5.0	13.0	12.72
6.7	0.077	18.0	34.0	12.39
7.1	0.096	20.0	53.0	12.42
7.2	0.07400000000000001	24.0	44.0	12.4
6.0	0.068	15.0	33.0	12.58
6.9	0.07200000000000001	13.0	22.0	12.4
7.8	0.08	29.0	58.0	12.31
10.0	0.061	6.0	11.0	12.23
6.7	0.08	36.0	111.0	12.1
11.6	0.095	22.0	41.0	12.02
7.1	0.053	36.0	127.0	11.94
10.4	0.105	29.0	53.0	12.24
7.3	0.10800000000000001	18.0	102.0	12.26
8.0	0.073	6.0	18.0	12.29
11.1	0.094	16.0	47.0	12.12
7.9	0.078	15.0	37.0	12.35
9.0	0.044000000000000004	25.0	50.0	12.2
13.8	0.09300000000000001	6.0	15.0	12.02
7.2	0.096	10.0	31.0	12.46
7.6	0.09	7.0	20.0	12.2
7.3	0.084	6.0	23.0	12.61
6.0	0.075	15.0	50.0	12.58
7.6	0.076	33.0	45.0	12.31
7.0	0.066	8.0	25.0	12.47
7.1	0.08	27.0	43.0	12.42
7.2	0.068	23.0	42.0	12.34
11.9	0.068	7.0	27.0	12.06
9.0	0.083	8.0	28.0	12.33
10.2	0.092	11.0	24.0	12.29
12.7	0.08199999999999999	11.0	22.0	12
9.6	0.08199999999999999	30.0	74.0	12.3
7.4	0.086	21.0	73.0	12.36
6.5	0.076	30.0	47.0	12.36
6.6	0.07	13.0	26.0	12.4
6.3	0.083	17.0	24.0	12.59
10.2	0.11	11.0	37.0	12.16
7.5	0.073	22.0	84.0	12.32
8.9	0.17600000000000002	52.0	145.0	12.16
5.4	0.059000000000000004	20.0	31.0	12.5
12.0	0.071	6.0	26.0	12.07
8.0	0.07	10.0	35.0	12.34
8.4	0.081	32.0	79.0	12.3
7.5	0.08900000000000001	14.0	27.0	12.3
8.2	0.073	16.0	47.0	12.4
9.6	0.055999999999999994	9.0	24.0	12.22
10.3	0.073	5.0	13.0	12.23
13.7	0.085	17.0	43.0	12.06
6.5	0.114	9.0	37.0	12.66
8.0	0.083	10.0	62.0	12.35
7.5	0.077	11.0	35.0	12.36
10.4	0.075	6.0	21.0	12.25
12.8	0.083	7.0	42.0	12.07
7.1	0.07	29.0	129.0	12.42
7.2	0.086	4.0	11.0	12.41
8.6	0.068	8.0	17.0	12.23
7.2	0.083	13.0	100.0	12.26
6.3	0.076	29.0	40.0	12.42
5.6	0.073	19.0	25.0	12.56
7.7	0.08800000000000001	12.0	18.0	12.32
5.5	0.044000000000000004	28.0	87.0	12.5
7.5	0.092	22.0	31.0	12.38
10.6	0.152	7.0	18.0	12.04
7.0	0.068	20.0	110.0	12.3
8.6	0.11	19.0	133.0	11.93
12.8	0.083	7.0	42.0	12.07
8.0	0.08	25.0	105.0	12.3
8.0	0.08	11.0	34.0	12.44
7.4	0.08	16.0	33.0	12.58
8.2	0.057999999999999996	10.0	29.0	12.26
6.7	0.086	12.0	80.0	12.38
8.1	0.078	33.0	89.0	12.26
12.3	0.079	28.0	46.0	12.2
7.7	0.055	7.0	13.0	12.38
9.9	0.10400000000000001	12.0	89.0	12.04
6.5	0.051	28.0	91.0	12.44
10.5	0.07400000000000001	9.0	23.0	12.23
9.0	0.075	9.0	104.0	12.23
7.8	0.086	5.0	18.0	12.4
7.0	0.068	7.0	20.0	12.48
10.0	0.071	13.0	50.0	12.16
9.4	0.075	5.0	13.0	12.22
7.2	0.078	7.0	12.0	12.34
8.4	0.19399999999999998	14.0	26.0	12.22
9.1	0.414	18.0	64.0	11.9
6.6	0.059000000000000004	32.0	48.0	12.52
7.4	0.076	11.0	34.0	12.51
9.0	0.08	26.0	86.0	12.38
7.2	0.07	5.0	36.0	12.33
10.0	0.079	19.0	58.0	12.18
7.7	0.08900000000000001	23.0	147.0	12.26
7.8	0.08800000000000001	23.0	48.0	12.41
7.9	0.08	33.0	141.0	12.25
8.6	0.092	3.0	12.0	12.31
6.9	0.076	14.0	39.0	12.34
6.4	0.07	27.0	73.0	12.32
9.0	0.08800000000000001	19.0	38.0	12.35
10.2	0.122	10.0	41.0	12.23
11.2	0.085	16.0	53.0	12.06
9.9	0.073	3.0	8.0	12.15
8.9	0.086	9.0	30.0	12.34
6.7	0.012	36.0	100.0	12.26
7.7	0.069	4.0	9.0	12.16
6.7	0.079	7.0	22.0	12.46
6.9	0.085	21.0	40.0	12.43
8.2	0.10400000000000001	10.0	22.0	12.39
6.7	0.061	26.0	42.0	12.39
7.1	0.073	12.0	22.0	12.48
6.2	0.09	32.0	44.0	12.45
7.9	0.096	6.0	13.0	12.43
8.2	0.076	11.0	47.0	12.27
7.2	0.076	18.0	88.0	12.53
11.9	0.078	12.0	24.0	12
6.7	0.012	36.0	100.0	12.26
6.3	0.055	27.0	33.0	12.45
6.8	0.078	8.0	15.0	12.35
7.7	0.064	31.0	43.0	12.41
8.8	0.06	19.0	72.0	12.39
6.7	0.059000000000000004	24.0	52.0	12.34
8.8	0.087	24.0	122.0	12.26
7.5	0.077	27.0	60.0	12.28
7.7	0.076	15.0	27.0	12.32
7.7	0.069	4.0	9.0	12.16
7.3	0.066	35.0	70.0	12.43
8.2	0.08199999999999999	8.0	24.0	12.24
11.6	0.147	36.0	51.0	12.38
11.9	0.128	7.0	21.0	12.17
6.0	0.067	18.0	42.0	12.39
10.0	0.092	20.0	88.0	12.15
11.7	0.083	5.0	15.0	12.19
6.6	0.122	68.0	124.0	12.47
12.2	0.085	19.0	64.0	12.1
9.3	0.07	5.0	20.0	12.12
6.4	0.066	5.0	12.0	12.34
9.9	0.08199999999999999	9.0	17.0	12.19
8.9	0.263	5.0	62.0	12
10.9	0.132	17.0	44.0	12.28
8.6	0.08	3.0	8.0	12.27
7.8	0.065	34.0	45.0	12.46
8.9	0.08800000000000001	12.0	19.0	12.17
9.0	0.081	26.0	96.0	12.36
7.0	0.062	4.0	9.0	12.35
6.4	0.081	14.0	31.0	12.59
7.1	0.12300000000000001	6.0	14.0	12.45
6.1	0.084	4.0	28.0	12.36
8.5	0.078	5.0	30.0	12.2
9.0	0.084	21.0	122.0	12.32
7.9	0.07200000000000001	15.0	105.0	12.27
7.8	0.073	9.0	18.0	12.36
6.2	0.095	19.0	42.0	12.57
8.0	0.08199999999999999	12.0	46.0	12.43
9.0	0.111	5.0	10.0	12.31
6.6	0.11699999999999999	9.0	17.0	12.35
7.1	0.07400000000000001	17.0	25.0	12.38
7.7	0.08800000000000001	17.0	96.0	12.32
8.3	0.09300000000000001	6.0	12.0	12.26
7.8	0.08199999999999999	21.0	102.0	12.39
9.3	0.085	38.0	142.0	12.22
6.6	0.062	37.0	53.0	12.35
7.8	0.057999999999999996	22.0	47.0	12.51
7.9	0.087	27.0	61.0	12.36
8.4	0.085	14.0	111.0	12.15
12.7	0.075	5.0	19.0	12.14
5.1	0.044000000000000004	18.0	88.0	12.68
9.6	0.102	37.0	92.0	12.3
7.8	0.081	15.0	105.0	12.33
7.1	0.096	5.0	13.0	12.41
9.0	0.171	6.0	25.0	12.27
7.7	0.047	15.0	60.0	12.36
7.0	0.114	15.0	64.0	12.22
9.8	0.078	35.0	152.0	12.25
14.3	0.075	6.0	15.0	11.86
6.8	0.124	21.0	58.0	12.46
9.8	0.25	5.0	20.0	12.31
7.6	0.23600000000000002	10.0	88.0	12.11
10.4	0.10400000000000001	6.0	10.0	12.12
9.1	0.09300000000000001	11.0	44.0	12.31
9.2	0.11199999999999999	11.0	38.0	12.24
7.9	0.084	13.0	29.0	12.22
11.6	0.105	33.0	98.0	12.2
9.6	0.087	5.0	28.0	12.14
9.7	0.073	14.0	21.0	12.14
7.1	0.059000000000000004	11.0	18.0	12.39
9.1	0.068	10.0	24.0	12.27
6.2	0.05	6.0	18.0	12.57
8.3	0.08900000000000001	10.0	52.0	12.23
7.6	0.07200000000000001	9.0	20.0	12.17
7.5	0.08	27.0	46.0	12.02
5.7	0.172	7.0	19.0	12.5
5.8	0.039	15.0	88.0	12.66
8.2	0.095	5.0	77.0	12.13
7.3	0.059000000000000004	7.0	11.0	12.29
8.3	0.065	24.0	48.0	12.34
6.4	0.078	17.0	65.0	12.33
6.3	0.069	18.0	61.0	12.44
10.4	0.084	5.0	22.0	12.26
8.1	0.059000000000000004	5.0	15.0	12.37
10.7	0.061	7.0	15.0	12.18
7.8	0.07200000000000001	27.0	55.0	12.31
12.8	0.08800000000000001	13.0	35.0	12.1
5.0	0.040999999999999995	16.0	46.0	13.01
8.6	0.055	14.0	28.0	12.18
9.9	0.071	16.0	40.0	12.39
6.5	0.166	6.0	12.0	12.56
7.5	0.062	6.0	12.0	12.44
6.6	0.066	12.0	20.0	12.53
10.4	0.075	6.0	20.0	12.18
6.1	0.086	5.0	32.0	12.36
7.0	0.08800000000000001	16.0	39.0	12.34
10.9	0.132	17.0	44.0	12.28
5.0	0.048	26.0	60.0	12.7
9.2	0.086	23.0	116.0	12.23
5.9	0.075	32.0	44.0	12.57
5.9	0.042	3.0	11.0	12.48
7.2	0.076	12.0	20.0	12.29
7.1	0.08199999999999999	24.0	94.0	12.55
13.5	0.12	23.0	77.0	12.18
7.0	0.066	8.0	25.0	12.47
7.6	0.13699999999999998	5.0	9.0	12.5
8.2	0.095	5.0	77.0	12.13
9.8	0.08800000000000001	15.0	33.0	12.42
10.6	0.11900000000000001	34.0	68.0	12.23
9.4	0.094	3.0	10.0	12.27
7.5	0.332	8.0	14.0	12.21
8.8	0.083	18.0	111.0	12.3
10.3	0.214	5.0	12.0	12.19
8.8	0.09699999999999999	39.0	145.0	12.04
8.4	0.08900000000000001	15.0	55.0	12.31
7.9	0.065	5.0	10.0	12.27
13.0	0.09300000000000001	15.0	47.0	12.05
7.6	0.078	6.0	23.0	12.3
7.7	0.062	9.0	31.0	12.39
8.3	0.07	6.0	14.0	12.25
7.5	0.05	4.0	8.0	12.4
8.0	0.073	16.0	25.0	12.28
7.2	0.071	12.0	31.0	12.52
8.1	0.09	4.0	13.0	12.36
15.6	0.095	10.0	23.0	11.92
7.7	0.09699999999999999	19.0	27.0	12.16
8.3	0.076	8.0	23.0	12.26
6.6	0.062	15.0	23.0	12.54
6.9	0.07	32.0	38.0	12.32
6.8	0.06	11.0	18.0	12.41
9.0	0.084	21.0	75.0	12.35
15.6	0.1	6.0	43.0	11.95
8.3	0.085	6.0	24.0	12.31
6.2	0.053	24.0	32.0	12.54
6.5	0.059000000000000004	16.0	28.0	12.36
7.4	0.07400000000000001	17.0	24.0	12.24
7.9	0.08199999999999999	17.0	144.0	12.2
13.3	0.07	15.0	40.0	12.06
10.2	0.214	55.0	95.0	12.18
7.7	0.073	29.0	63.0	12.37
7.9	0.076	7.0	32.0	12.39
5.2	0.10300000000000001	13.0	50.0	12.38
10.4	0.145	34.0	48.0	12.38
7.8	0.076	17.0	31.0	12.33
6.8	0.067	4.0	8.0	12.36
7.1	0.078	7.0	18.0	12.27
6.9	0.24100000000000002	6.0	18.0	12.4
7.1	0.086	17.0	45.0	12.46
9.2	0.079	11.0	31.0	12.33
7.5	0.084	13.0	31.0	12.36
7.3	0.08800000000000001	39.0	106.0	12.36
11.5	0.084	5.0	15.0	11.98
9.1	0.094	38.0	106.0	12.08
6.9	0.07400000000000001	16.0	65.0	12.53
8.6	0.086	21.0	50.0	12.37
11.8	0.071	6.0	10.0	12.2
8.7	0.064	9.0	42.0	12.1
11.9	0.07200000000000001	6.0	37.0	12.05
6.6	0.069	4.0	8.0	12.33
8.7	0.084	13.0	33.0	12.36
9.4	0.08	6.0	17.0	12.15
13.2	0.071	12.0	35.0	12.1
7.0	0.079	39.0	55.0	12.39
8.0	0.073	6.0	18.0	12.29
9.3	0.085	9.0	22.0	12.28
7.8	0.07400000000000001	24.0	120.0	12.25
9.2	0.14800000000000002	10.0	103.0	11.87
10.0	0.102	13.0	32.0	12.28
10.1	0.092	13.0	52.0	12.22
8.3	0.081	45.0	87.0	12.48
7.2	0.081	16.0	36.0	12.38
6.1	0.07200000000000001	6.0	19.0	12.42
6.9	0.043	6.0	12.0	12.3
7.2	0.077	15.0	85.0	12.51
7.5	0.067	7.0	25.0	12.24
10.0	0.08	9.0	32.0	12.13
7.7	0.081	6.0	14.0	12.3
7.5	0.083	17.0	91.0	12.26
8.3	0.094	24.0	60.0	12.31
7.3	0.07400000000000001	12.0	87.0	12.33
7.1	0.08199999999999999	27.0	51.0	12.49
10.4	0.174	6.0	16.0	12.19
7.2	0.064	15.0	29.0	12.35
8.3	0.075	12.0	16.0	12.45
7.9	0.055999999999999994	6.0	35.0	12.29
7.8	0.46399999999999997	22.0	67.0	12.13
6.1	0.071	14.0	45.0	12.38
10.9	0.11800000000000001	6.0	14.0	12.3
7.4	0.106	12.0	72.0	12.05
7.2	0.081	16.0	36.0	12.38
6.8	0.05	5.0	11.0	12.48
7.6	0.078	29.0	66.0	12.45
8.0	0.073	17.0	119.0	12.26
6.7	0.076	15.0	36.0	12.61
7.4	0.066	18.0	47.0	12.37
9.0	0.146	27.0	90.0	12.16
6.7	0.068	24.0	148.0	12.16
7.9	0.087	27.0	61.0	12.36
7.5	0.083	17.0	91.0	12.26
9.3	0.085	9.0	22.0	12.28
7.2	0.08900000000000001	10.0	18.0	12.37
8.5	0.092	35.0	103.0	12.3
6.8	0.06	4.0	11.0	12.53
10.0	0.095	28.0	89.0	12.22
5.9	0.055999999999999994	14.0	28.0	12.62
7.2	0.078	17.0	84.0	12.51
5.3	0.054000000000000006	5.0	27.0	12.57
12.5	0.083	25.0	68.0	12.15
8.3	0.079	17.0	42.0	12.31
7.1	0.076	15.0	37.0	12.36
6.6	0.106	14.0	27.0	12.44
6.8	0.075	14.0	31.0	12.36
11.3	0.08199999999999999	6.0	15.0	11.94
11.7	0.054000000000000006	17.0	32.0	12.15
6.9	0.08800000000000001	9.0	105.0	12.25
7.0	0.085	12.0	69.0	12.32
5.2	0.08	15.0	28.0	12.78
9.8	0.094	10.0	45.0	12.24
7.7	0.102	11.0	32.0	12.23
