genre	groupe	age	experience	participation	participationSpecialite
"Sabine Rubin"	1	b_LFI	61	5	0.20	0.34
"Clémentine Autain"	1	b_LFI	48	5	0.12	0.36
"Éric Coquerel"	0	b_LFI	63	5	0.28	0.40
"Michel Larive"	0	b_LFI	55	5	0.16	0.42
"Ugo Bernalicis"	0	b_LFI	32	5	0.21	0.49
"Danièle Obono"	1	b_LFI	41	5	0.29	0.53
"Caroline Fiat"	1	b_LFI	45	5	0.35	0.59
"Bastien Lachaud"	0	b_LFI	41	5	0.18	0.65
"Alexis Corbière"	0	b_LFI	53	5	0.22	0.66
"Manuéla Kéclard-Mondésir"	1	c_GDR	50	4	0.07	0.00
"Moetai Brotherson"	0	c_GDR	52	5	0.07	0.10
"Alain Bruneel"	0	c_GDR	70	5	0.22	0.13
"Jean-Philippe Nilor"	0	c_GDR	56	10	0.07	0.16
"Marie-George Buffet"	1	c_GDR	72	20	0.11	0.18
"Sébastien Jumel"	0	c_GDR	50	5	0.24	0.19
"Fabien Roussel"	0	c_GDR	53	5	0.15	0.33
"Jean-Paul Dufrègne"	0	c_GDR	64	5	0.27	0.45
"Karine Lebon"	1	c_GDR	36	2	0.18	0.50
"Stéphane Peu"	0	c_GDR	59	5	0.30	0.53
"Elsa Faucillon"	1	c_GDR	40	5	0.20	0.61
"Hubert Wulfranc"	0	c_GDR	65	5	0.21	0.66
"Pierre Dharréville"	0	c_GDR	46	5	0.33	0.68
"André Chassaigne"	0	c_GDR	71	20	0.21	0.72
"Jean-Paul Lecoq"	0	c_GDR	63	10	0.23	0.90
"Claire Bouchet"	1	f_LAREM	68	2	0.31	0.00
"Florence Morlighem"	1	f_LAREM	52	2	0.31	0.00
"Christophe Leclercq"	0	f_LAREM	55	1	0.40	0.00
"Thierry Solère"	0	f_LAREM	50	10	0.06	0.03
"Xavier Batut"	0	f_LAREM	45	5	0.15	0.03
"Jacqueline Maquet"	1	f_LAREM	72	15	0.08	0.04
"Patrick Vignal"	0	f_LAREM	64	10	0.08	0.06
"Christophe Castaner"	0	f_LAREM	56	7	0.40	0.06
"Jacques Krabal"	0	f_LAREM	74	10	0.08	0.07
"Lénaïck Adam"	0	f_LAREM	30	5	0.07	0.08
"Romain Grau"	0	f_LAREM	47	5	0.07	0.08
"Yves Blein"	0	f_LAREM	67	10	0.08	0.08
"Laurence Vanceunebrock"	1	f_LAREM	51	5	0.12	0.10
"Olivier Serva"	0	f_LAREM	47	5	0.07	0.11
"Fabien Matras"	0	f_LAREM	37	5	0.09	0.11
"Denis Masséglia"	0	f_LAREM	41	5	0.18	0.11
"Alain Tourret"	0	f_LAREM	74	10	0.08	0.12
"Anne Blanc"	1	f_LAREM	55	5	0.11	0.12
"Claire O'Petit"	1	f_LAREM	72	5	0.18	0.12
"Mounir Mahjoubi"	0	f_LAREM	38	3	0.20	0.12
"Florian Bachelier"	0	f_LAREM	43	5	0.11	0.13
"Alexandra Valetta Ardisson"	1	f_LAREM	45	5	0.13	0.13
"Danièle Cazarian"	1	f_LAREM	56	5	0.08	0.14
"Stéphane Claireaux"	0	f_LAREM	57	8	0.15	0.14
"Yves Daniel"	0	f_LAREM	67	10	0.16	0.14
"François de Rugy"	0	f_LAREM	48	14	0.14	0.15
"Sonia Krimi"	1	f_LAREM	39	5	0.12	0.16
"Marjolaine Meynier-Millefert"	1	f_LAREM	39	5	0.15	0.16
"Sandrine Le Feur"	1	f_LAREM	31	5	0.17	0.16
"Pierre Person"	0	f_LAREM	33	5	0.10	0.17
"Denis Sommer"	0	f_LAREM	64	5	0.15	0.17
"Catherine Daufès-Roux"	1	f_LAREM	59	1	0.38	0.17
"Sébastien Cazenove"	0	f_LAREM	45	5	0.11	0.18
"Anne-France Brunet"	1	f_LAREM	59	5	0.13	0.18
"Ramlati Ali"	1	f_LAREM	60	5	0.16	0.18
"Christophe Arend"	0	f_LAREM	46	5	0.11	0.19
"Stéphanie Do"	1	f_LAREM	42	5	0.13	0.19
"François Cormier-Bouligeon"	0	f_LAREM	49	5	0.16	0.19
"Danièle Hérin"	1	f_LAREM	75	5	0.19	0.19
"Christophe Di Pompeo"	0	f_LAREM	57	5	0.07	0.20
"Frédéric Barbier"	0	f_LAREM	61	9	0.10	0.20
"Valérie Gomez-Bassac"	1	f_LAREM	52	5	0.18	0.20
"Valéria Faure-Muntian"	1	f_LAREM	37	5	0.20	0.20
"Michel Delpon"	0	f_LAREM	72	5	0.12	0.21
"Barbara Bessot Ballot"	1	f_LAREM	50	5	0.15	0.21
"Anthony Cellier"	0	f_LAREM	46	5	0.17	0.21
"Jean-Louis Touraine"	0	f_LAREM	76	15	0.12	0.22
"Cécile Muschotti"	1	f_LAREM	34	5	0.15	0.22
"Marie-Pierre Rixain"	1	f_LAREM	45	5	0.15	0.22
"Stéphane Trompille"	0	f_LAREM	39	5	0.09	0.23
"Francis Chouat"	0	f_LAREM	73	3	0.17	0.23
"Pierre Henriet"	0	f_LAREM	30	5	0.17	0.23
"Pierre Cabaré"	0	f_LAREM	64	5	0.19	0.23
"Typhanie Degois"	1	f_LAREM	29	5	0.12	0.24
"Brigitte Liso"	1	f_LAREM	62	5	0.18	0.24
"Patrice Anato"	0	f_LAREM	46	5	0.15	0.25
"Damien Adam"	0	f_LAREM	32	5	0.22	0.25
"Yannick Haury"	0	f_LAREM	67	5	0.13	0.26
"Hugues Renson"	0	f_LAREM	44	5	0.11	0.27
"Saïd Ahamada"	0	f_LAREM	49	5	0.16	0.27
"Hervé Pellois"	0	f_LAREM	71	10	0.17	0.27
"Stanislas Guerini"	0	f_LAREM	39	5	0.18	0.27
"Jean-Bernard Sempastous"	0	f_LAREM	57	5	0.22	0.27
"Marie-Ange Magne"	1	f_LAREM	34	5	0.15	0.28
"Philippe Chassaing"	0	f_LAREM	49	5	0.16	0.28
"François Jolivet"	0	f_LAREM	56	5	0.18	0.28
"Marie Silin"	1	f_LAREM	43	2	0.24	0.28
"Sophie Errante"	1	f_LAREM	50	10	0.14	0.29
"Didier Baichère"	0	f_LAREM	51	5	0.15	0.29
"Sophie Panonacle"	1	f_LAREM	53	5	0.15	0.29
"Loïc Dombreval"	0	f_LAREM	56	5	0.18	0.29
"Camille Galliard-Minier"	1	f_LAREM	46	2	0.31	0.29
"Grégory Besson-Moreau"	0	f_LAREM	39	5	0.11	0.30
"Anne-Laurence Petel"	1	f_LAREM	52	5	0.20	0.30
"Cécile Delpirou"	1	f_LAREM	58	2	0.25	0.30
"Aurore Bergé"	1	f_LAREM	35	5	0.27	0.30
"Élisabeth Toutut-Picard"	1	f_LAREM	67	5	0.17	0.31
"Michel Lauzzana"	0	f_LAREM	65	5	0.20	0.31
"Sandrine Mörch"	1	f_LAREM	60	5	0.23	0.31
"Valérie Oppelt"	1	f_LAREM	48	5	0.23	0.31
"Buon Tan"	0	f_LAREM	55	5	0.10	0.32
"Jean-Philippe Ardouin"	0	f_LAREM	58	5	0.14	0.32
"Patrice Perrot"	0	f_LAREM	58	5	0.22	0.32
"Cédric Roussel"	0	f_LAREM	49	5	0.22	0.32
"Souad Zitouni"	1	f_LAREM	48	2	0.23	0.32
"Florent Boudié"	0	f_LAREM	48	10	0.15	0.33
"Coralie Dubost"	1	f_LAREM	39	5	0.17	0.33
"Xavier Roseren"	0	f_LAREM	52	5	0.19	0.33
"Bertrand Bouyx"	0	f_LAREM	51	5	0.30	0.33
"Amélia Lakrafi"	1	f_LAREM	44	5	0.10	0.34
"Didier Paris"	0	f_LAREM	68	5	0.15	0.34
"Émilie Chalas"	1	f_LAREM	44	5	0.17	0.34
"Fabrice Le Vigoureux"	0	f_LAREM	52	5	0.18	0.34
"Alexandre Freschi"	0	f_LAREM	42	5	0.19	0.34
"Laëtitia Romeiro Dias"	1	f_LAREM	41	5	0.20	0.34
"Didier Martin"	0	f_LAREM	65	5	0.27	0.34
"Stéphane Buchou"	0	f_LAREM	48	5	0.28	0.34
"Sylvain Templier"	0	f_LAREM	50	2	0.39	0.34
"Gwendal Rouillard"	0	f_LAREM	46	11	0.08	0.35
"Alice Thourot"	1	f_LAREM	36	5	0.13	0.35
"Frédéric Descrozaille"	0	f_LAREM	55	5	0.17	0.35
"Jean-François Eliaou"	0	f_LAREM	65	5	0.17	0.35
"Damien Pichereau"	0	f_LAREM	34	5	0.14	0.36
"Bérangère Couillard"	1	f_LAREM	35	5	0.15	0.36
"Gaël Le Bohec"	0	f_LAREM	44	5	0.21	0.36
"Pierre Venteau"	0	f_LAREM	47	3	0.22	0.36
"Aude Bono-Vandorme"	1	f_LAREM	59	5	0.23	0.36
"Nicole Trisse"	1	f_LAREM	58	5	0.24	0.36
"Lionel Causse"	0	f_LAREM	50	5	0.27	0.36
"Olivier Damaisin"	0	f_LAREM	55	5	0.28	0.37
"Jean-Claude Leclabart"	0	f_LAREM	67	5	0.31	0.37
"Anne-Laure Cattelot"	1	f_LAREM	33	5	0.19	0.38
"Laurianne Rossi"	1	f_LAREM	37	5	0.21	0.38
"Laurence Gayte"	1	f_LAREM	56	5	0.22	0.38
"Pierre-Alain Raphan"	0	f_LAREM	39	5	0.22	0.38
"Ludovic Mendes"	0	f_LAREM	35	5	0.15	0.39
"Adrien Morenas"	0	f_LAREM	40	4	0.16	0.39
"Benjamin Dirx"	0	f_LAREM	43	5	0.17	0.39
"Marie Tamarelle-Verhaeghe"	1	f_LAREM	59	5	0.18	0.39
"Annaïg Le Meur"	1	f_LAREM	49	5	0.20	0.39
"Dominique David"	1	f_LAREM	59	5	0.21	0.39
"Florence Granjus"	1	f_LAREM	59	5	0.23	0.39
"Claire Pitollat"	1	f_LAREM	42	5	0.12	0.40
"Raphaël Gauvain"	0	f_LAREM	49	5	0.16	0.40
"Jean-Pierre Pont"	0	f_LAREM	71	5	0.18	0.40
"Carole Grandjean"	1	f_LAREM	38	5	0.20	0.40
"Philippe Chalumeau"	0	f_LAREM	58	5	0.21	0.40
"Belkhir Belhaddad"	0	f_LAREM	52	5	0.25	0.40
"Jean-François Portarrieu"	0	f_LAREM	56	5	0.11	0.41
"Monique Iborra"	1	f_LAREM	77	15	0.14	0.41
"Marie Guévenoux"	1	f_LAREM	45	5	0.18	0.41
"Carole Bureau-Bonnard"	1	f_LAREM	56	5	0.21	0.41
"Guillaume Vuilletet"	0	f_LAREM	54	5	0.26	0.41
"Huguette Tiegna"	1	f_LAREM	40	5	0.30	0.41
"Éric Girardin"	0	f_LAREM	60	5	0.34	0.41
"Émilie Guerel"	1	f_LAREM	38	5	0.18	0.42
"Stéphane Mazars"	0	f_LAREM	53	5	0.18	0.42
"Alain Perea"	0	f_LAREM	50	5	0.19	0.42
"Jean-Michel Fauvergue"	0	f_LAREM	65	5	0.22	0.42
"Sandra Marsaud"	1	f_LAREM	48	5	0.25	0.42
"Sira Sylla"	1	f_LAREM	42	5	0.09	0.43
"Anne-Christine Lang"	1	f_LAREM	60	8	0.16	0.43
"Pascal Bois"	0	f_LAREM	62	5	0.19	0.43
"Alexandre Holroyd"	0	f_LAREM	34	5	0.21	0.43
"Éric Alauzet"	0	f_LAREM	63	10	0.24	0.43
"Guillaume Kasbarian"	0	f_LAREM	35	5	0.25	0.43
"Stéphanie Atger"	1	f_LAREM	46	3	0.26	0.43
"Fiona Lazaar"	1	f_LAREM	36	5	0.22	0.44
"Anissa Khedher"	1	f_LAREM	42	5	0.12	0.45
"Bertrand Sorre"	0	f_LAREM	56	5	0.19	0.45
"Caroline Janvier"	1	f_LAREM	40	5	0.20	0.45
"Jean-Marie Fiévet"	0	f_LAREM	57	5	0.21	0.45
"Roland Lescure"	0	f_LAREM	55	5	0.21	0.45
"Naïma Moutchou"	1	f_LAREM	41	5	0.22	0.45
"Nicole Le Peih"	1	f_LAREM	62	5	0.25	0.45
"Audrey Dufeu"	1	f_LAREM	41	5	0.17	0.46
"Annie Vidal"	1	f_LAREM	65	5	0.21	0.46
"Éric Poulliat"	0	f_LAREM	47	5	0.25	0.47
"Xavier Paluszkiewicz"	0	f_LAREM	49	5	0.26	0.47
"Hélène Zannier"	1	f_LAREM	49	5	0.29	0.47
"Hervé Berville"	0	f_LAREM	32	5	0.12	0.48
"Aude Amadou"	1	f_LAREM	42	5	0.20	0.48
"Jean-Baptiste Moreau"	0	f_LAREM	45	5	0.21	0.48
"Sacha Houlié"	0	f_LAREM	33	5	0.23	0.48
"Éric Bothorel"	0	f_LAREM	55	5	0.26	0.48
"Éric Woerth"	0	f_LAREM	66	13	0.17	0.49
"Charlotte Parmentier-Lecocq"	1	f_LAREM	44	5	0.25	0.49
"Gilles Le Gendre"	0	f_LAREM	63	5	0.28	0.49
"Mireille Robert"	1	f_LAREM	60	5	0.31	0.49
"Thomas Rudigoz"	0	f_LAREM	51	5	0.22	0.50
"Raphaël Gérard"	0	f_LAREM	53	5	0.23	0.50
"Nathalie Sarles"	1	f_LAREM	60	5	0.23	0.50
"Monica Michel-Brassart"	1	f_LAREM	67	5	0.24	0.50
"Liliana Tanguy"	1	f_LAREM	55	5	0.24	0.50
"Fabienne Colboc"	1	f_LAREM	50	5	0.26	0.50
"Célia de Lavergne"	1	f_LAREM	42	5	0.25	0.51
"Véronique Hammerer"	1	f_LAREM	53	5	0.26	0.51
"Richard Ferrand"	0	f_LAREM	59	10	0.13	0.52
"Bénédicte Peyrol"	1	f_LAREM	31	5	0.26	0.52
"Stella Dupont"	1	f_LAREM	48	5	0.29	0.52
"Laurence Maillart-Méhaignerie"	1	f_LAREM	55	5	0.19	0.53
"Catherine Fabre"	1	f_LAREM	43	5	0.24	0.53
"Zivka Park"	1	f_LAREM	37	5	0.28	0.53
"Pascale Boyer"	1	f_LAREM	56	5	0.32	0.53
"Laetitia Avia"	1	f_LAREM	36	5	0.23	0.54
"Jean Terlier"	0	f_LAREM	45	5	0.26	0.54
"Jean-Michel Mis"	0	f_LAREM	54	5	0.27	0.54
"Jacques Maire"	0	f_LAREM	60	5	0.13	0.55
"Olga Givernet"	1	f_LAREM	40	5	0.15	0.55
"Richard Lioger"	0	f_LAREM	64	5	0.24	0.55
"Daniel Labaronne"	0	f_LAREM	66	5	0.27	0.55
"Catherine Kamowski"	1	f_LAREM	64	5	0.30	0.55
"Thierry Michels"	0	f_LAREM	61	5	0.32	0.55
"Pieyre-Alexandre Anglade"	0	f_LAREM	35	5	0.21	0.56
"Jean François Mbaye"	0	f_LAREM	43	5	0.23	0.56
"Catherine Osson"	1	f_LAREM	48	5	0.25	0.56
"Jacqueline Dubois"	1	f_LAREM	64	5	0.28	0.56
"Fannette Charvier"	1	f_LAREM	37	5	0.33	0.56
"Yannick Kerlogot"	0	f_LAREM	51	5	0.37	0.56
"Stéphane Travert"	0	f_LAREM	52	9	0.17	0.57
"Pacôme Rupin"	0	f_LAREM	37	5	0.28	0.57
"Danielle Brulebois"	1	f_LAREM	74	5	0.29	0.57
"Marc Delatte"	0	f_LAREM	60	5	0.29	0.57
"Christine Hennion"	1	f_LAREM	66	5	0.31	0.57
"Bruno Questel"	0	f_LAREM	55	5	0.31	0.57
"Marie Lebec"	1	f_LAREM	31	5	0.33	0.57
"Didier Le Gac"	0	f_LAREM	56	5	0.12	0.58
"Stéphane Vojetta"	0	f_LAREM	47	1	0.30	0.58
"Cathy Racon-Bouzon"	1	f_LAREM	45	5	0.17	0.59
"Caroline Abadie"	1	f_LAREM	45	5	0.30	0.59
"Sylvain Maillard"	0	f_LAREM	48	5	0.30	0.59
"Dominique Da Silva"	0	f_LAREM	53	5	0.32	0.59
"Véronique Riotton"	1	f_LAREM	52	5	0.25	0.60
"Fadila Khattabi"	1	f_LAREM	60	5	0.28	0.60
"Stéphane Testé"	0	f_LAREM	53	5	0.28	0.60
"Laurent Saint-Martin"	0	f_LAREM	36	5	0.25	0.61
"Cécile Rilhac"	1	f_LAREM	48	5	0.27	0.61
"Jean-René Cazeneuve"	0	f_LAREM	63	5	0.37	0.61
"Martine Leguille-Balloy"	1	f_LAREM	64	5	0.17	0.62
"Stéphanie Rist"	1	f_LAREM	48	5	0.22	0.62
"Rémy Rebeyrotte"	0	f_LAREM	56	5	0.31	0.62
"Béatrice Piron"	1	f_LAREM	56	5	0.32	0.62
"Laetitia Saint-Paul"	1	f_LAREM	41	5	0.14	0.63
"Françoise Ballet-Blu"	1	f_LAREM	58	2	0.24	0.63
"Graziella Melchior"	1	f_LAREM	62	5	0.32	0.63
"Mireille Clapot"	1	f_LAREM	58	5	0.30	0.64
"Nicolas Démoulin"	0	f_LAREM	49	5	0.32	0.64
"Marion Lenne"	1	f_LAREM	47	5	0.40	0.64
"Muriel Roques-Etienne"	1	f_LAREM	43	2	0.21	0.65
"Corinne Vignon"	1	f_LAREM	58	5	0.30	0.65
"Sophie Beaudouin-Hubiere"	1	f_LAREM	49	5	0.37	0.65
"Nicole Dubré-Chirat"	1	f_LAREM	70	5	0.43	0.65
"Rodrigue Kokouendo"	0	f_LAREM	48	5	0.17	0.66
"Jean-Charles Colas-Roy"	0	f_LAREM	43	5	0.20	0.66
"Bénédicte Pételle"	1	f_LAREM	50	3	0.29	0.67
"Christelle Dubos"	1	f_LAREM	46	3	0.31	0.67
"Julien Borowczyk"	0	f_LAREM	42	5	0.33	0.68
"Vincent Thiébaut"	0	f_LAREM	49	5	0.37	0.68
"Monique Limon"	1	f_LAREM	68	5	0.32	0.69
"Jean-Luc Fugit"	0	f_LAREM	52	5	0.36	0.69
"Thomas Mesnier"	0	f_LAREM	36	5	0.26	0.70
"Séverine Gipson"	1	f_LAREM	51	5	0.29	0.71
"Sereine Mauborgne"	1	f_LAREM	49	5	0.29	0.71
"Christine Cloarec-Le Nabour"	1	f_LAREM	57	5	0.36	0.72
"Guillaume Gouffier-Cha"	0	f_LAREM	36	5	0.42	0.72
"Marie-Christine Verdier-Jouclas"	1	f_LAREM	57	5	0.44	0.72
"Jean-Michel Jacques"	0	f_LAREM	54	5	0.15	0.74
"Sylvie Charrière"	1	f_LAREM	60	5	0.29	0.74
"Jacques Marilossian"	0	f_LAREM	63	5	0.29	0.74
"Florence Provendier"	1	f_LAREM	56	3	0.33	0.74
"Isabelle Rauch"	1	f_LAREM	53	5	0.19	0.75
"Yaël Braun-Pivet"	1	f_LAREM	51	5	0.24	0.75
"Anne Brugnera"	1	f_LAREM	51	5	0.30	0.75
"Valérie Thomas"	1	f_LAREM	54	5	0.31	0.75
"Christophe Lejeune"	0	f_LAREM	53	5	0.12	0.77
"Anne Genetet"	1	f_LAREM	59	5	0.26	0.77
"Michèle Peyron"	1	f_LAREM	60	5	0.46	0.77
"Natalia Pouzyreff"	1	f_LAREM	61	5	0.29	0.79
"Patricia Mirallès"	1	f_LAREM	54	5	0.19	0.81
"Cendra Motin"	1	f_LAREM	47	5	0.51	0.82
"Jean-Marc Zulesi"	0	f_LAREM	33	5	0.29	0.85
"Céline Calvez"	1	f_LAREM	42	5	0.34	0.85
"Fabien Gouttefarde"	0	f_LAREM	43	5	0.19	0.87
"Bruno Studer"	0	f_LAREM	43	5	0.22	0.87
"Françoise Dumas"	1	f_LAREM	62	10	0.13	0.94
"Jean-Jacques Bridey"	0	f_LAREM	68	10	0.40	0.97
"Edith Audibert"	1	j_LR	74	2	0.07	0.00
"Christelle Petex-Levet"	1	j_LR	41	1	0.09	0.00
"Jean-Louis Thiériot"	0	j_LR	52	4	0.10	0.00
"Sylvie Bouchet Bellecourt"	1	j_LR	64	2	0.12	0.00
"Bernard Bouley"	0	j_LR	71	2	0.12	0.00
"Philippe Meyer"	0	j_LR	53	2	0.20	0.00
"Nathalie Serre"	1	j_LR	53	2	0.22	0.00
"Bernard Brochand"	0	j_LR	83	20	0.07	0.01
"Jean-Luc Poudroux"	0	j_LR	71	4	0.07	0.02
"Bernard Reynès"	0	j_LR	68	15	0.04	0.03
"Yves Hemedinger"	0	j_LR	56	2	0.22	0.04
"Nadia Ramassamy"	1	j_LR	60	5	0.03	0.05
"Jean-Jacques Gaultier"	0	j_LR	58	15	0.08	0.05
"David Lorion"	0	j_LR	57	5	0.09	0.05
"Virginie Duby-Muller"	1	j_LR	42	10	0.10	0.06
"Christian Jacob"	0	j_LR	62	15	0.10	0.06
"Jacques Cattin"	0	j_LR	63	5	0.12	0.06
"Annie Genevard"	1	j_LR	65	10	0.13	0.06
"Guy Teissier"	0	j_LR	77	20	0.04	0.07
"Philippe Benassaya"	0	j_LR	57	2	0.15	0.07
"Nathalie Porte"	1	j_LR	49	2	0.20	0.07
"Rémi Delatte"	0	j_LR	65	15	0.10	0.08
"Vincent Rolland"	0	j_LR	52	10	0.10	0.08
"Bernard Deflesselles"	0	j_LR	68	20	0.04	0.09
"Jean-Luc Reitzer"	0	j_LR	70	20	0.04	0.09
"Michèle Tabarot"	1	j_LR	59	20	0.04	0.09
"Frédérique Meunier"	1	j_LR	61	5	0.07	0.09
"François Cornut-Gentille"	0	j_LR	63	20	0.08	0.10
"Éric Pauget"	0	j_LR	51	5	0.18	0.10
"Mansour Kamardine"	0	j_LR	63	10	0.07	0.12
"Patrick Hetzel"	0	j_LR	57	10	0.18	0.12
"Marine Brenier"	1	j_LR	35	6	0.08	0.13
"Nathalie Bassire"	1	j_LR	54	5	0.16	0.13
"Gilles Carrez"	0	j_LR	73	20	0.06	0.14
"Robin Reda"	0	j_LR	30	5	0.10	0.14
"Jean-Pierre Vigier"	0	j_LR	52	10	0.12	0.14
"Julien Ravier"	0	j_LR	44	2	0.19	0.14
"Emmanuel Maquet"	0	j_LR	53	5	0.11	0.15
"Julien Aubert"	0	j_LR	43	10	0.18	0.15
"Nicolas Forissier"	0	j_LR	61	10	0.09	0.16
"Claude de Ganay"	0	j_LR	68	10	0.10	0.16
"Michel Vialay"	0	j_LR	62	5	0.10	0.16
"Dino Cinieri"	0	j_LR	66	20	0.16	0.17
"Olivier Marleix"	0	j_LR	51	10	0.11	0.18
"Claire Guion-Firmin"	1	j_LR	64	5	0.15	0.18
"Pierre-Henri Dumont"	0	j_LR	34	5	0.20	0.18
"Pierre Cordier"	0	j_LR	49	5	0.21	0.18
"Julien Dive"	0	j_LR	36	6	0.16	0.19
"Damien Abad"	0	j_LR	42	10	0.11	0.20
